R25-109-100, curden = -0.000000
R25-109-101, curden = 31849351.720808
R25-109-102, curden = 18124745.521236
R25-109-103, curden = -12070716.612488
R25-109-104, curden = -42346465.132380
R25-109-105, curden = -73530351.835995
R25-109-106, curden = -108029934.480976
R25-109-107, curden = -160801088.417076
R25-109-108, curden = -185835829.368388
R25-109-109, curden = -227197645.768924
R25-109-110, curden = -254911367.743229
R25-109-111, curden = -281803063.712091
R25-109-112, curden = -320113350.658626
R25-109-113, curden = -347936221.760504
R25-109-114, curden = -379799638.891159
R25-109-115, curden = -421450863.541258
R25-109-116, curden = -454607602.626899
R25-109-117, curden = -498396171.579390
R25-109-118, curden = -542343646.657960
R25-109-119, curden = -586009672.001495
R25-109-120, curden = -637749000.203089
R25-109-121, curden = -688312442.207643
R25-109-122, curden = -744133822.853193
R25-109-123, curden = -795565110.993350
R25-109-124, curden = -856431153.008581
R25-109-125, curden = -914871676.358652
R25-109-126, curden = -954899674.942786
R25-109-127, curden = -988390065.207547
R25-109-128, curden = -991054661.462339
R25-109-129, curden = -943203541.288519
R25-109-130, curden = -836332192.050762
R25-109-131, curden = -647994763.082938
R25-109-132, curden = -0.000000
R25-110-100, curden = -0.000000
R25-110-101, curden = 31140360.375082
R25-110-102, curden = 31568440.045679
R25-110-103, curden = -7232313.145319
R25-110-104, curden = -42180742.345806
R25-110-105, curden = -72456735.155772
R25-110-106, curden = -107530250.564808
R25-110-107, curden = -152033632.641521
R25-110-108, curden = -189002029.382737
R25-110-109, curden = -218701663.426161
R25-110-110, curden = -255044810.592242
R25-110-111, curden = -294296921.516461
R25-110-112, curden = -324957021.563008
R25-110-113, curden = -366948503.665268
R25-110-114, curden = -403445366.225362
R25-110-115, curden = -445896317.494364
R25-110-116, curden = -495273897.393524
R25-110-117, curden = -540595817.234710
R25-110-118, curden = -588650408.192246
R25-110-119, curden = -636345781.022286
R25-110-120, curden = -704033600.815941
R25-110-121, curden = -770317861.224222
R25-110-122, curden = -847545534.747869
R25-110-123, curden = -912601214.400361
R25-110-124, curden = -995727203.192420
R25-110-125, curden = -1093779394.207651
R25-110-126, curden = -1172919181.686441
R25-110-127, curden = -1257050915.017154
R25-110-128, curden = -1315253208.988922
R25-110-129, curden = -1297067104.330140
R25-110-130, curden = -1198489866.814600
R25-110-131, curden = -960341033.433008
R25-110-132, curden = -0.000000
R25-111-100, curden = -0.000000
R25-111-101, curden = 35692712.530789
R25-111-102, curden = 31174080.501065
R25-111-103, curden = -8930655.870834
R25-111-104, curden = -36823859.267236
R25-111-105, curden = -66036818.778511
R25-111-106, curden = -104853724.307768
R25-111-107, curden = -147199816.261539
R25-111-108, curden = -184019172.221998
R25-111-109, curden = -219084728.338797
R25-111-110, curden = -253607831.325928
R25-111-111, curden = -299273812.406799
R25-111-112, curden = -336486170.923558
R25-111-113, curden = -378859985.115389
R25-111-114, curden = -421436405.925451
R25-111-115, curden = -467208068.259645
R25-111-116, curden = -520223219.885453
R25-111-117, curden = -568286852.824156
R25-111-118, curden = -630299682.321374
R25-111-119, curden = -693797921.821081
R25-111-120, curden = -767074643.829674
R25-111-121, curden = -849942159.829737
R25-111-122, curden = -941702427.454488
R25-111-123, curden = -1020501554.901723
R25-111-124, curden = -1144203146.881577
R25-111-125, curden = -1281364239.099398
R25-111-126, curden = -1428012899.323540
R25-111-127, curden = -1589042637.605596
R25-111-128, curden = -1736892267.714823
R25-111-129, curden = -1846559902.069148
R25-111-130, curden = -1857139829.282106
R25-111-131, curden = -1617962253.136019
R25-111-132, curden = -0.000000
R25-112-100, curden = -0.000000
R25-112-101, curden = 36992111.328744
R25-112-102, curden = 31067323.570772
R25-112-103, curden = -2168392.689227
R25-112-104, curden = -30611677.930767
R25-112-105, curden = -63402613.612783
R25-112-106, curden = -105262809.235046
R25-112-107, curden = -144712848.970890
R25-112-108, curden = -176990369.235384
R25-112-109, curden = -213880794.166611
R25-112-110, curden = -259588056.488123
R25-112-111, curden = -305135192.930460
R25-112-112, curden = -346776712.308989
R25-112-113, curden = -384021777.200807
R25-112-114, curden = -426713711.005549
R25-112-115, curden = -476520525.271955
R25-112-116, curden = -541804962.357639
R25-112-117, curden = -595380059.554411
R25-112-118, curden = -661130274.491325
R25-112-119, curden = -732473338.145765
R25-112-120, curden = -814050289.633592
R25-112-121, curden = -903089791.471590
R25-112-122, curden = -1006667299.014040
R25-112-123, curden = -1126013615.328496
R25-112-124, curden = -1257511518.053548
R25-112-125, curden = -1447641961.120393
R25-112-126, curden = -1651616119.762271
R25-112-127, curden = -1895792463.412926
R25-112-128, curden = -2198715799.349072
R25-112-129, curden = -2571586909.462617
R25-112-130, curden = -2996668089.180690
R25-112-131, curden = -3181138620.665717
R25-112-132, curden = -0.000000
R25-113-100, curden = -0.000000
R25-113-101, curden = 37664322.042725
R25-113-102, curden = 39103255.446027
R25-113-103, curden = -7700107.637926
R25-113-104, curden = -25536152.874076
R25-113-105, curden = -58943982.502687
R25-113-106, curden = -95565127.438806
R25-113-107, curden = -137795841.549822
R25-113-108, curden = -178670554.995453
R25-113-109, curden = -213755584.161397
R25-113-110, curden = -258333992.786586
R25-113-111, curden = -299356178.383807
R25-113-112, curden = -345030677.872315
R25-113-113, curden = -392951068.211562
R25-113-114, curden = -438421626.359538
R25-113-115, curden = -487156865.630242
R25-113-116, curden = -547329994.155944
R25-113-117, curden = -607239672.953973
R25-113-118, curden = -676953170.018304
R25-113-119, curden = -755586584.807759
R25-113-120, curden = -830839137.621933
R25-113-121, curden = -939994603.307833
R25-113-122, curden = -1050188720.063784
R25-113-123, curden = -1181115401.160407
R25-113-124, curden = -1346152537.259852
R25-113-125, curden = -1541127648.619789
R25-113-126, curden = -1779142689.452966
R25-113-127, curden = -2084759268.552816
R25-113-128, curden = -2525511334.116033
R25-113-129, curden = -3225935660.772276
R25-113-130, curden = -4576427136.742793
R25-113-131, curden = -7891052925.697050
R25-113-132, curden = -0.000000
R25-114-100, curden = -0.000000
R25-114-101, curden = 40775794.641378
R25-114-102, curden = 41291997.347767
R25-114-103, curden = 5580184.742835
R25-114-104, curden = -25947284.844812
R25-114-105, curden = -52787863.942243
R25-114-106, curden = -93301589.306291
R25-114-107, curden = -137047194.267537
R25-114-108, curden = -170045921.059804
R25-114-109, curden = -211365217.929000
R25-114-110, curden = -257953024.419467
R25-114-111, curden = -285142223.438524
R25-114-112, curden = -345146855.796078
R25-114-113, curden = -393817951.453851
R25-114-114, curden = -443110508.127977
R25-114-115, curden = -492282954.354553
R25-114-116, curden = -541514871.129005
R25-114-117, curden = -609021927.402772
R25-114-118, curden = -677351075.589757
R25-114-119, curden = -751629024.806191
R25-114-120, curden = -841037467.660463
R25-114-121, curden = -949169941.391222
R25-114-122, curden = -1056533581.881946
R25-114-123, curden = -1197141359.723588
R25-114-124, curden = -1354717790.593848
R25-114-125, curden = -1554738313.239466
R25-114-126, curden = -1778517804.226760
R25-114-127, curden = -2037545143.501204
R25-114-128, curden = -2344551185.733620
R25-114-129, curden = -2574592673.427787
R25-114-130, curden = -2412263517.253557
R25-114-131, curden = -18253150194.842941
R25-114-132, curden = -0.000000
R25-115-100, curden = -0.000000
R25-115-101, curden = 42641474.379440
R25-115-102, curden = 38353455.259825
R25-115-103, curden = 14271778.055124
R25-115-104, curden = -23454288.801089
R25-115-105, curden = -39314576.583387
R25-115-106, curden = -90743683.368449
R25-115-107, curden = -127162971.294056
R25-115-108, curden = -165405411.661122
R25-115-109, curden = -203409306.536350
R25-115-110, curden = -246898145.750142
R25-115-111, curden = -282520640.558863
R25-115-112, curden = -336361854.541361
R25-115-113, curden = -381421143.698551
R25-115-114, curden = -429377709.342778
R25-115-115, curden = -495212456.153811
R25-115-116, curden = -542948856.061926
R25-115-117, curden = -601313697.517898
R25-115-118, curden = -657849840.204654
R25-115-119, curden = -734298782.518667
R25-115-120, curden = -814368584.515203
R25-115-121, curden = -913034900.795743
R25-115-122, curden = -1041754186.248209
R25-115-123, curden = -1176841746.890366
R25-115-124, curden = -1316401050.454692
R25-115-125, curden = -1489532989.269010
R25-115-126, curden = -1688821830.230386
R25-115-127, curden = -1944889919.978969
R25-115-128, curden = -2274143931.002285
R25-115-129, curden = -2748765768.331856
R25-115-130, curden = -3621625600.122779
R25-115-131, curden = -5781934474.847754
R25-115-132, curden = -0.000000
R25-116-100, curden = -0.000000
R25-116-101, curden = 48049938.387141
R25-116-102, curden = 39134102.819294
R25-116-103, curden = 15215604.578289
R25-116-104, curden = -15308210.542672
R25-116-105, curden = -33059907.666509
R25-116-106, curden = -79358878.902516
R25-116-107, curden = -119036901.999260
R25-116-108, curden = -151451974.333384
R25-116-109, curden = -193412599.943349
R25-116-110, curden = -232163487.656710
R25-116-111, curden = -278218209.709369
